2023-05-27-10-26: epoch: 37 |tot 6.849673 | hm 1.046533 | wh 1.503105 | reg 0.219394 | dep 1.501860 | dep_sec 1.402358 | dim 0.234105 | rot 0.577240 | rot_sec 0.547698 | amodel_offset 0.773995 | nuscenes_att 0.154309 | velocity 0.241871 | time 102.716667 | tot 7.689774 | hm 1.114299 | wh 1.834987 | reg 0.226300 | dep 1.420347 | dep_sec 1.455521 | dim 0.204693 | rot 0.913117 | rot_sec 0.887403 | amodel_offset 0.899537 | nuscenes_att 0.186589 | velocity 0.198469 | time 2.000000 | 
2023-05-27-12-12: epoch: 38 |tot 6.829236 | hm 1.044933 | wh 1.505162 | reg 0.219582 | dep 1.501893 | dep_sec 1.396115 | dim 0.234224 | rot 0.573299 | rot_sec 0.543041 | amodel_offset 0.770635 | nuscenes_att 0.153464 | velocity 0.241533 | time 102.733333 | tot 7.737392 | hm 1.099295 | wh 1.776862 | reg 0.226976 | dep 1.497865 | dep_sec 1.522409 | dim 0.198547 | rot 0.918921 | rot_sec 0.874071 | amodel_offset 0.838669 | nuscenes_att 0.188957 | velocity 0.193995 | time 2.216667 | 
2023-05-27-13-57: epoch: 39 |tot 6.799662 | hm 1.042929 | wh 1.499642 | reg 0.219301 | dep 1.493785 | dep_sec 1.393869 | dim 0.233848 | rot 0.567453 | rot_sec 0.537126 | amodel_offset 0.769559 | nuscenes_att 0.152068 | velocity 0.239759 | time 102.750000 | tot 7.659651 | hm 1.104531 | wh 1.840381 | reg 0.226300 | dep 1.422454 | dep_sec 1.483516 | dim 0.197042 | rot 0.907796 | rot_sec 0.889466 | amodel_offset 0.848335 | nuscenes_att 0.202151 | velocity 0.194024 | time 1.983333 | 
2023-05-27-15-43: epoch: 40 |tot 6.801503 | hm 1.043272 | wh 1.499109 | reg 0.219465 | dep 1.494755 | dep_sec 1.392517 | dim 0.233684 | rot 0.566623 | rot_sec 0.536107 | amodel_offset 0.773208 | nuscenes_att 0.152218 | velocity 0.239743 | time 102.883333 | tot 7.769815 | hm 1.108298 | wh 1.790993 | reg 0.227375 | dep 1.477167 | dep_sec 1.478807 | dim 0.201475 | rot 0.937416 | rot_sec 0.909753 | amodel_offset 0.858617 | nuscenes_att 0.194507 | velocity 0.197301 | time 1.966667 | 
2023-05-27-17-28: epoch: 41 |tot 6.747986 | hm 1.039765 | wh 1.493698 | reg 0.219403 | dep 1.479283 | dep_sec 1.378794 | dim 0.232773 | rot 0.562041 | rot_sec 0.531801 | amodel_offset 0.765983 | nuscenes_att 0.150094 | velocity 0.238679 | time 103.016667 | tot 7.676300 | hm 1.122813 | wh 1.773751 | reg 0.226165 | dep 1.426828 | dep_sec 1.440269 | dim 0.194856 | rot 0.925833 | rot_sec 0.885302 | amodel_offset 0.877887 | nuscenes_att 0.197862 | velocity 0.201111 | time 2.000000 | 
2023-05-27-19-14: epoch: 42 |tot 6.736996 | hm 1.039760 | wh 1.496745 | reg 0.219204 | dep 1.480935 | dep_sec 1.375400 | dim 0.232420 | rot 0.558889 | rot_sec 0.528140 | amodel_offset 0.765515 | nuscenes_att 0.148975 | velocity 0.238083 | time 103.000000 | tot 7.821001 | hm 1.125715 | wh 1.801369 | reg 0.228622 | dep 1.460523 | dep_sec 1.464218 | dim 0.196854 | rot 0.936024 | rot_sec 0.919457 | amodel_offset 0.897877 | nuscenes_att 0.214350 | velocity 0.197225 | time 1.950000 | 
2023-05-27-20-59: epoch: 43 |tot 6.709772 | hm 1.037257 | wh 1.489627 | reg 0.219188 | dep 1.472877 | dep_sec 1.369804 | dim 0.232057 | rot 0.553718 | rot_sec 0.523212 | amodel_offset 0.767306 | nuscenes_att 0.148181 | velocity 0.237209 | time 102.816667 | tot 7.809388 | hm 1.104506 | wh 1.822942 | reg 0.226127 | dep 1.457805 | dep_sec 1.495835 | dim 0.201344 | rot 0.928825 | rot_sec 0.902497 | amodel_offset 0.925215 | nuscenes_att 0.198467 | velocity 0.186474 | time 1.966667 | 
2023-05-27-22-44: epoch: 44 |tot 6.695326 | hm 1.037159 | wh 1.485423 | reg 0.219170 | dep 1.471562 | dep_sec 1.367530 | dim 0.232040 | rot 0.549985 | rot_sec 0.519657 | amodel_offset 0.764564 | nuscenes_att 0.147558 | velocity 0.237559 | time 102.916667 | tot 7.830027 | hm 1.115826 | wh 1.786254 | reg 0.227014 | dep 1.446440 | dep_sec 1.540612 | dim 0.201037 | rot 0.919465 | rot_sec 0.895065 | amodel_offset 0.901367 | nuscenes_att 0.206803 | velocity 0.197772 | time 1.983333 | 
2023-05-28-00-30: epoch: 45 |tot 6.658980 | hm 1.035641 | wh 1.487166 | reg 0.218826 | dep 1.459830 | dep_sec 1.356408 | dim 0.231434 | rot 0.546724 | rot_sec 0.515843 | amodel_offset 0.761196 | nuscenes_att 0.147455 | velocity 0.236907 | time 102.916667 | tot 7.734921 | hm 1.103374 | wh 1.784823 | reg 0.224989 | dep 1.450412 | dep_sec 1.464325 | dim 0.204201 | rot 0.924054 | rot_sec 0.890332 | amodel_offset 0.898442 | nuscenes_att 0.198895 | velocity 0.197415 | time 1.983333 | 
2023-05-28-02-15: epoch: 46 |tot 6.642846 | hm 1.033797 | wh 1.481265 | reg 0.218918 | dep 1.459338 | dep_sec 1.351611 | dim 0.231238 | rot 0.543998 | rot_sec 0.513123 | amodel_offset 0.761015 | nuscenes_att 0.146036 | velocity 0.235647 | time 102.750000 | tot 7.761124 | hm 1.105029 | wh 1.832863 | reg 0.226548 | dep 1.449851 | dep_sec 1.526084 | dim 0.195155 | rot 0.921388 | rot_sec 0.883011 | amodel_offset 0.878276 | nuscenes_att 0.190735 | velocity 0.201760 | time 2.000000 | 
